Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,1.3,7.4,-3.5,0.0,8.7
1,2016-01-02,2.1,12.5,-4.3,0.0,6.5
2,2016-01-03,5.2,17.0,-1.9,0.0,9.1
3,2016-01-04,6.0,16.1,-1.9,0.0,9.1
4,2016-01-05,5.2,15.1,-1.7,0.0,8.5
5,2016-01-06,3.5,8.8,0.4,0.0,1.1
6,2016-01-07,1.3,7.0,-3.0,0.0,5.5
7,2016-01-08,1.1,9.4,-4.7,0.0,9.0
8,2016-01-09,1.7,8.9,-2.9,0.0,8.9
9,2016-01-10,2.3,11.7,-4.6,0.0,8.9
10,2016-01-11,1.7,7.8,-2.1,0.0,8.4
11,2016-01-12,0.4,7.4,-4.0,0.0,3.7
12,2016-01-13,-1.0,6.5,-7.0,0.0,8.1
13,2016-01-14,0.5,10.0,-5.8,0.0,8.5
14,2016-01-15,0.9,6.8,-5.4,0.0,5.3
15,2016-01-16,1.4,10.0,-2.8,0.0,8.3
16,2016-01-17,0.7,7.0,-5.9,1.5,4.3
17,2016-01-18,0.1,1.8,-1.7,34.0,0.2
18,2016-01-19,-0.8,3.7,-7.1,0.5,9.0
19,2016-01-20,-3.4,2.1,-8.9,10.5,0.9
20,2016-01-21,-1.6,4.7,-7.5,0.0,6.7
21,2016-01-22,-1.7,5.9,-7.7,0.0,8.9
22,2016-01-23,-2.1,2.8,-6.3,0.5,4.7
23,2016-01-24,-4.0,3.2,-8.8,0.0,5.3
24,2016-01-25,-3.6,3.5,-10.8,0.0,8.1
25,2016-01-26,-2.7,7.6,-11.0,0.0,9.5
26,2016-01-27,-0.2,9.7,-8.3,0.0,9.5
27,2016-01-28,1.5,11.8,-5.4,0.0,9.1
28,2016-01-29,0.6,1.9,-0.6,22.0,0.0
29,2016-01-30,0.6,3.1,-1.3,5.5,0.3
30,2016-01-31,1.1,8.6,-3.7,0.0,9.6
31,2016-02-01,0.7,5.9,-3.2,0.0,4.9
32,2016-02-02,-1.3,6.4,-6.6,0.0,6.2
33,2016-02-03,-1.1,6.8,-6.9,0.0,9.6
34,2016-02-04,-1.2,7.0,-8.1,0.0,8.9
35,2016-02-05,0.5,8.9,-6.0,0.0,8.9
36,2016-02-06,1.8,9.3,-2.5,0.0,4.8
37,2016-02-07,-1.0,5.2,-4.9,0.0,9.1
38,2016-02-08,-0.9,5.7,-5.2,0.0,7.7
39,2016-02-09,0.1,7.7,-5.9,0.0,6.3
40,2016-02-10,-0.1,3.5,-3.3,0.0,2.9
41,2016-02-11,0.7,8.8,-5.0,0.0,9.7
42,2016-02-12,1.9,9.9,-5.5,0.0,9.0
43,2016-02-13,6.4,14.7,-0.5,0.0,2.9
44,2016-02-14,9.6,20.3,3.9,11.0,4.4
45,2016-02-15,3.0,8.8,-2.9,0.0,3.5
46,2016-02-16,0.1,7.5,-6.1,0.0,6.9
47,2016-02-17,-0.4,5.4,-5.4,0.0,7.8
48,2016-02-18,0.7,8.9,-5.8,0.0,9.9
49,2016-02-19,4.7,15.0,-4.1,0.0,9.6
50,2016-02-20,3.7,7.0,0.9,9.0,0.0
51,2016-02-21,4.3,10.9,-1.6,0.5,9.0
52,2016-02-22,2.8,8.8,-2.5,0.0,7.9
53,2016-02-23,4.0,10.0,-1.0,0.0,6.1
54,2016-02-24,1.7,4.6,-1.1,0.0,7.6
55,2016-02-25,0.2,6.9,-4.2,0.0,7.3
56,2016-02-26,0.8,9.3,-5.9,0.0,9.3
57,2016-02-27,2.5,10.1,-5.2,0.0,7.6
58,2016-02-28,5.0,12.6,-2.1,0.0,7.6
59,2016-02-29,4.0,11.6,-0.1,0.5,2.7
60,2016-03-01,-0.4,4.1,-4.0,0.0,8.0
61,2016-03-02,0.4,9.4,-7.0,0.0,9.2
62,2016-03-03,4.0,15.8,-4.5,0.0,10.3
63,2016-03-04,5.3,12.5,-2.6,0.0,10.1
64,2016-03-05,6.7,12.0,-0.6,0.0,6.3
