Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,-6.3,-2.2,-10.9,0.0,4.7
1,2016-01-02,-4.1,0.7,-11.0,0.0,2.1
2,2016-01-03,-3.4,0.4,-9.9,0.0,4.9
3,2016-01-04,-7.3,-0.9,-12.8,0.0,4.7
4,2016-01-05,-8.6,-2.9,-15.0,0.0,4.8
5,2016-01-06,-6.8,-0.3,-14.9,0.0,8.1
6,2016-01-07,-7.7,-2.6,-13.8,0.0,4.6
7,2016-01-08,-7.0,-0.5,-14.2,0.0,5.0
8,2016-01-09,-8.5,-1.9,-14.8,0.0,5.4
9,2016-01-10,-6.3,0.2,-13.6,0.0,4.8
10,2016-01-11,-10.1,-6.6,-15.2,0.0,3.8
11,2016-01-12,-11.6,-5.4,-17.9,0.0,5.9
12,2016-01-13,-9.9,-3.4,-17.1,0.0,7.2
13,2016-01-14,-6.3,-3.6,-10.9,8.0,2.6
14,2016-01-15,-10.0,-6.3,-15.8,0.0,7.7
15,2016-01-16,-11.1,-5.0,-17.3,0.0,5.9
16,2016-01-17,-9.9,-4.1,-15.6,0.0,6.2
17,2016-01-18,-8.3,-3.0,-17.0,3.0,0.4
18,2016-01-19,-2.6,-1.9,-4.4,27.0,0.0
19,2016-01-20,-2.4,-1.6,-4.0,13.5,0.0
20,2016-01-21,-5.0,-4.0,-5.8,2.0,0.1
21,2016-01-22,-3.4,-0.5,-6.1,0.0,5.0
22,2016-01-23,-4.6,-2.0,-11.7,2.0,3.5
23,2016-01-24,-8.1,-5.6,-11.8,0.0,5.6
24,2016-01-25,-11.9,-8.1,-18.6,0.0,8.2
25,2016-01-26,-9.7,-1.3,-19.1,0.0,9.2
26,2016-01-27,-6.8,-1.3,-16.3,0.0,6.8
27,2016-01-28,-9.2,-2.4,-15.9,0.0,3.7
28,2016-01-29,-11.9,-7.0,-16.9,0.0,6.6
29,2016-01-30,-11.4,-5.0,-16.9,0.0,7.5
30,2016-01-31,-11.1,-6.1,-18.4,0.0,7.4
31,2016-02-01,-12.6,-7.3,-18.0,0.0,6.7
32,2016-02-02,-11.7,-5.3,-20.8,0.0,7.1
33,2016-02-03,-10.6,-5.7,-16.8,0.0,7.6
34,2016-02-04,-8.0,-2.0,-17.6,0.0,6.8
35,2016-02-05,-5.7,-0.9,-12.9,0.0,3.3
36,2016-02-06,-8.9,-1.8,-15.5,0.0,5.9
37,2016-02-07,-10.4,-5.4,-18.3,0.0,7.0
38,2016-02-08,-8.5,-5.8,-12.1,0.0,9.5
39,2016-02-09,-2.3,-0.1,-8.6,4.0,0.0
40,2016-02-10,-3.3,-1.0,-5.7,0.5,3.1
41,2016-02-11,-5.9,-3.5,-11.3,0.0,1.9
42,2016-02-12,-6.0,-1.9,-15.3,0.0,4.3
43,2016-02-13,1.7,5.8,-2.5,0.0,1.5
44,2016-02-14,-1.3,2.8,-4.7,10.5,0.0
45,2016-02-15,-7.0,-1.1,-12.8,0.0,7.2
46,2016-02-16,-10.0,-3.6,-17.4,0.0,8.0
47,2016-02-17,-7.2,-1.0,-13.9,0.0,6.3
48,2016-02-18,-5.0,2.7,-13.2,0.0,8.9
49,2016-02-19,-2.1,4.1,-9.7,0.0,8.7
50,2016-02-20,0.2,4.2,-5.1,1.0,7.0
51,2016-02-21,-3.4,-1.3,-6.7,9.0,0.6
52,2016-02-22,-6.1,-2.0,-14.1,0.0,5.1
53,2016-02-23,-5.9,-0.5,-14.9,0.0,4.7
54,2016-02-24,-12.0,-8.1,-18.2,0.0,10.1
55,2016-02-25,-12.6,-4.8,-21.6,0.0,8.1
56,2016-02-26,-11.6,-4.9,-19.2,0.0,5.4
57,2016-02-27,-10.7,-4.1,-19.1,0.0,5.0
58,2016-02-28,-10.1,-4.2,-17.4,0.0,10.1
59,2016-02-29,-6.2,-1.7,-14.0,1.5,0.0
60,2016-03-01,-5.6,-1.0,-8.0,24.0,0.1
61,2016-03-02,-8.0,-4.3,-11.7,0.0,8.9
62,2016-03-03,-8.8,-3.5,-16.4,0.0,7.7
63,2016-03-04,-6.7,-2.4,-13.3,0.0,9.5
64,2016-03-05,-6.3,-2.2,-12.5,0.0,10.1
65,2016-03-06,-3.9,2.1,-12.9,1.0,0.0
66,2016-03-07,2.4,7.6,-0.6,0.0,7.2
67,2016-03-08,0.3,2.6,-2.2,0.0,2.4
68,2016-03-09,-1.8,1.5,-5.1,0.0,7.1
69,2016-03-10,-5.1,-0.3,-11.6,0.0,5.3
70,2016-03-11,-5.4,1.3,-11.6,0.0,5.1
71,2016-03-12,-6.7,-0.5,-13.9,0.0,6.4
72,2016-03-13,-3.9,1.2,-12.7,0.0,11.2
73,2016-03-14,0.0,4.7,-2.6,0.0,6.3
74,2016-03-15,-2.5,-0.7,-5.2,0.0,9.1
75,2016-03-16,-0.4,6.3,-10.6,0.0,10.9
76,2016-03-17,3.6,9.2,-3.0,0.0,10.3
77,2016-03-18,2.5,7.4,-2.6,0.0,0.4
78,2016-03-19,1.7,6.5,-1.4,3.5,0.0
79,2016-03-20,-2.9,-1.3,-5.2,0.0,2.8
80,2016-03-21,-2.9,1.4,-7.0,0.0,10.2
81,2016-03-22,-1.6,4.1,-9.1,0.0,7.7
82,2016-03-23,-1.3,4.6,-7.9,0.0,7.9
83,2016-03-24,-2.1,-0.2,-4.5,4.5,0.1
84,2016-03-25,-3.6,0.0,-8.0,0.0,5.1
85,2016-03-26,-3.6,0.9,-10.0,0.0,6.6
86,2016-03-27,0.0,7.5,-8.6,0.0,11.7
87,2016-03-28,1.8,7.1,-3.0,0.0,9.0
88,2016-03-29,1.1,7.1,-4.6,0.0,9.2
89,2016-03-30,2.0,5.5,-1.7,2.0,0.0
90,2016-03-31,3.3,7.7,-0.1,1.0,9.0
91,2016-04-01,0.7,3.2,-0.9,0.0,0.8
92,2016-04-02,0.5,4.4,-1.7,0.0,8.3
93,2016-04-03,3.1,5.5,0.4,0.5,0.0
94,2016-04-04,3.2,7.2,-1.5,0.0,1.7
95,2016-04-05,4.0,10.5,-3.3,0.0,12.2
96,2016-04-06,3.4,9.1,-2.8,0.0,10.4
97,2016-04-07,5.0,11.3,-4.0,5.5,8.3
98,2016-04-08,4.4,5.9,2.2,9.0,0.0
99,2016-04-09,4.0,9.7,-1.2,0.0,5.4
100,2016-04-10,3.0,7.5,-0.5,0.0,8.7
101,2016-04-11,0.0,3.8,-2.6,1.0,4.9
102,2016-04-12,1.0,6.3,-2.4,0.5,7.8
103,2016-04-13,4.0,8.8,-0.8,0.0,0.0
