Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,4.6,12.4,-1.5,0.0,8.9
1,2016-01-02,4.7,12.9,-1.8,0.0,7.3
2,2016-01-03,7.6,15.5,0.1,0.0,8.3
3,2016-01-04,7.6,15.4,0.9,0.0,8.8
4,2016-01-05,7.2,14.7,0.0,0.0,7.8
5,2016-01-06,6.1,9.4,2.5,0.0,0.0
6,2016-01-07,5.8,12.5,1.0,0.0,6.6
7,2016-01-08,3.8,9.6,-1.3,0.0,8.9
8,2016-01-09,4.5,10.9,-1.7,0.0,8.0
9,2016-01-10,4.6,12.5,-2.1,0.0,9.0
10,2016-01-11,4.6,10.0,-1.3,0.0,5.9
11,2016-01-12,2.0,4.2,-2.3,0.0,0.0
12,2016-01-13,2.0,8.3,-3.2,0.0,8.4
13,2016-01-14,3.7,10.7,-2.4,0.0,8.6
14,2016-01-15,4.8,9.4,-0.2,0.0,4.8
15,2016-01-16,5.8,11.1,0.0,0.0,9.0
16,2016-01-17,3.6,7.8,-1.7,4.5,4.6
17,2016-01-18,1.8,6.1,-0.2,55.0,1.8
18,2016-01-19,1.9,6.5,-4.3,0.0,9.3
19,2016-01-20,1.9,8.1,-5.7,0.0,8.7
20,2016-01-21,2.3,8.5,-3.7,0.0,8.4
21,2016-01-22,2.8,8.7,-2.5,0.0,8.9
22,2016-01-23,1.8,5.1,-2.4,0.0,2.9
23,2016-01-24,0.5,6.6,-5.6,0.0,9.4
24,2016-01-25,-0.8,6.7,-8.4,0.0,9.6
25,2016-01-26,2.0,8.1,-4.0,0.0,9.5
26,2016-01-27,4.3,11.8,-2.8,0.0,9.6
27,2016-01-28,6.0,13.3,0.0,0.0,9.5
28,2016-01-29,3.8,6.2,1.2,11.0,0.0
29,2016-01-30,2.3,4.0,0.7,2.5,0.0
30,2016-01-31,4.7,10.8,-0.1,0.0,6.0
31,2016-02-01,2.6,5.0,-0.4,0.0,0.0
32,2016-02-02,3.8,8.9,-0.2,0.0,6.5
33,2016-02-03,3.7,9.0,-1.4,0.0,4.6
34,2016-02-04,3.0,9.2,-1.6,0.0,5.8
35,2016-02-05,5.1,12.4,-2.2,0.0,9.3
36,2016-02-06,5.2,9.0,0.4,7.0,1.7
37,2016-02-07,2.4,7.8,-2.3,2.0,7.5
38,2016-02-08,1.9,5.9,-1.6,0.0,2.3
39,2016-02-09,4.5,13.7,-3.3,0.0,9.0
40,2016-02-10,4.8,9.4,0.7,0.0,9.9
41,2016-02-11,4.0,10.5,-2.7,0.0,10.0
42,2016-02-12,5.1,12.4,-2.4,0.0,4.7
43,2016-02-13,11.7,18.4,5.9,0.0,4.6
44,2016-02-14,15.4,22.0,10.3,19.5,4.9
45,2016-02-15,5.6,12.9,-1.0,2.5,0.1
46,2016-02-16,2.6,9.9,-3.5,0.0,8.1
47,2016-02-17,3.2,10.6,-2.5,0.0,7.1
48,2016-02-18,3.3,11.0,-3.8,0.0,10.1
49,2016-02-19,7.6,15.8,-1.1,0.0,9.9
50,2016-02-20,6.3,10.2,3.5,30.5,0.2
51,2016-02-21,7.7,14.5,1.8,0.0,4.2
52,2016-02-22,5.0,8.9,-0.4,0.0,2.4
53,2016-02-23,5.4,8.5,2.0,0.0,0.0
54,2016-02-24,4.5,6.3,0.4,2.0,0.0
55,2016-02-25,2.0,5.7,-0.7,1.5,4.9
56,2016-02-26,3.2,10.2,-3.2,0.0,7.0
57,2016-02-27,4.9,12.1,-2.5,0.0,10.5
58,2016-02-28,6.9,14.1,-0.3,0.0,7.0
59,2016-02-29,6.7,12.7,3.1,0.0,4.3
60,2016-03-01,3.9,9.2,0.1,0.0,10.7
61,2016-03-02,4.1,11.8,-3.8,0.0,10.2
62,2016-03-03,7.2,16.5,-2.2,0.0,10.5
63,2016-03-04,8.9,15.2,1.4,0.0,8.4
64,2016-03-05,9.5,14.5,5.7,0.0,2.1
65,2016-03-06,12.1,17.4,7.4,0.0,3.2
66,2016-03-07,11.8,13.3,10.5,10.0,0.0
67,2016-03-08,14.4,20.0,9.2,0.0,8.9
68,2016-03-09,7.3,12.5,3.2,24.5,0.0
69,2016-03-10,5.3,8.5,2.7,0.5,0.3
70,2016-03-11,3.1,4.2,1.9,3.0,0.0
71,2016-03-12,4.2,8.2,2.1,0.0,0.4
72,2016-03-13,5.2,8.9,2.9,0.0,0.8
73,2016-03-14,4.3,6.2,2.8,19.5,0.0
74,2016-03-15,6.6,13.4,1.8,0.0,10.9
75,2016-03-16,6.8,12.7,-1.1,0.0,4.7
76,2016-03-17,11.6,20.3,2.4,0.0,11.0
77,2016-03-18,13.1,20.7,3.7,0.0,6.0
78,2016-03-19,14.0,18.6,11.4,3.5,2.5
