Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall
0,2016-01-01,3.2,8.7,-0.1,0.0,0,0
1,2016-01-02,4.6,9.9,0.0,0.0,0,0
2,2016-01-03,6.2,11.7,2.1,0.0,0,0
3,2016-01-04,6.9,13.5,1.1,0.0,0,0
4,2016-01-05,5.5,10.2,2.0,3.5,0,0
5,2016-01-06,5.6,8.3,3.8,0.0,0,0
6,2016-01-07,4.5,7.1,2.1,5.5,0,0
7,2016-01-08,2.3,5.2,0.1,23.5,3,3
8,2016-01-09,1.7,3.8,0.0,5.5,4,2
9,2016-01-10,2.2,3.3,0.6,8.0,0,0
10,2016-01-11,3.7,5.9,2.2,1.0,0,0
11,2016-01-12,3.2,6.7,0.7,0.0,0,0
12,2016-01-13,1.7,7.6,-0.6,11.5,1,1
13,2016-01-14,0.5,1.3,0.1,18.0,5,9
14,2016-01-15,0.9,2.8,-1.2,2.5,4,1
15,2016-01-16,1.7,5.4,0.0,4.0,2,1
16,2016-01-17,2.0,6.7,-0.9,0.0,0,0
17,2016-01-18,4.9,8.0,2.5,38.5,0,0
18,2016-01-19,-0.9,3.0,-2.8,17.0,24,27
19,2016-01-20,1.1,3.7,-2.6,17.0,32,9
20,2016-01-21,0.0,3.7,-3.7,1.5,23,6
21,2016-01-22,-1.9,2.9,-6.2,0.0,15,2
22,2016-01-23,-1.1,3.6,-6.4,9.5,20,8
23,2016-01-24,-3.4,0.9,-6.6,19.5,49,34
24,2016-01-25,-3.5,0.6,-7.4,9.0,57,11
25,2016-01-26,-0.9,4.3,-6.6,0.5,48,1
26,2016-01-27,1.5,4.7,0.0,4.0,37,3
27,2016-01-28,2.2,6.3,0.0,0.5,27,0
28,2016-01-29,2.2,3.6,1.2,42.0,20,0
29,2016-01-30,2.0,5.1,-0.4,6.0,16,0
30,2016-01-31,2.6,8.6,-1.8,7.0,15,0
31,2016-02-01,1.5,2.7,0.3,0.0,11,0
32,2016-02-02,1.4,5.6,-0.9,0.0,10,0
33,2016-02-03,-0.1,5.2,-5.0,0.0,8,0
34,2016-02-04,-1.1,3.0,-5.8,2.0,7,0
35,2016-02-05,1.9,5.5,-0.3,1.5,8,5
36,2016-02-06,1.4,4.4,0.2,8.5,6,3
37,2016-02-07,0.7,3.8,-4.1,0.0,3,0
38,2016-02-08,-0.4,7.4,-6.7,0.0,1,0
39,2016-02-09,1.8,5.4,-0.3,13.0,1,2
40,2016-02-10,1.0,4.6,-2.6,1.0,0,0
41,2016-02-11,0.5,7.4,-5.6,0.0,0,0
42,2016-02-12,9.1,11.8,3.8,0.0,0,0
43,2016-02-13,12.4,15.4,9.5,11.0,0,0
44,2016-02-14,10.8,16.6,7.0,39.0,0,0
45,2016-02-15,2.9,7.2,0.1,5.0,0,0
46,2016-02-16,-0.4,1.5,-2.0,15.5,14,25
47,2016-02-17,0.1,2.4,-3.3,15.5,27,14
48,2016-02-18,1.4,9.1,-4.0,0.0,13,1
49,2016-02-19,4.3,11.5,-2.2,0.0,7,0
50,2016-02-20,5.5,8.6,2.6,17.5,0,0
