Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall
0,2016-01-01,2.1,5.2,-0.5,4.5,0.7,0,0
1,2016-01-02,5.2,8.9,0.3,25.5,0.1,0,0
2,2016-01-03,7.9,9.6,6.6,15.0,0.0,0,0
3,2016-01-04,6.9,12.7,2.5,6.0,1.5,0,0
4,2016-01-05,1.3,4.2,0.0,20.0,0.0,0,0
5,2016-01-06,2.9,6.0,0.1,3.5,1.2,0,0
6,2016-01-07,3.1,3.9,0.7,14.0,0.0,0,0
7,2016-01-08,1.3,3.2,-0.1,13.0,0.0,0,0
8,2016-01-09,0.6,1.4,-0.5,8.0,0.0,2,2
9,2016-01-10,1.4,4.8,-0.1,43.5,0.0,4,5
10,2016-01-11,-0.3,1.5,-1.0,16.0,0.0,26,23
11,2016-01-12,-0.5,0.3,-1.1,8.0,0.0,35,14
12,2016-01-13,0.7,2.8,-0.9,18.0,0.8,33,6
13,2016-01-14,-0.6,1.4,-4.0,16.0,0.0,27,14
14,2016-01-15,-1.9,1.3,-5.0,0.0,3.7,26,1
15,2016-01-16,-0.6,1.6,-4.7,5.5,0.7,36,16
16,2016-01-17,0.5,2.6,-2.2,6.0,0.2,41,7
17,2016-01-18,1.3,3.3,0.3,15.0,0.0,32,5
18,2016-01-19,0.8,4.6,-1.8,48.0,0.0,45,22
19,2016-01-20,0.6,3.5,-1.7,8.5,0.5,50,7
20,2016-01-21,1.4,2.7,-0.1,2.0,0.0,43,3
21,2016-01-22,0.8,2.6,-0.5,4.0,0.2,44,4
22,2016-01-23,0.1,1.5,-2.2,0.0,0.0,44,1
23,2016-01-24,-2.0,-0.4,-2.9,25.0,0.0,74,35
24,2016-01-25,-0.5,1.8,-3.0,6.5,0.4,76,7
25,2016-01-26,1.2,3.5,-0.4,0.0,0.0,71,0
26,2016-01-27,2.2,4.3,0.4,28.0,0.0,63,0
27,2016-01-28,1.7,3.4,0.4,8.5,0.0,52,3
28,2016-01-29,0.2,0.9,-0.4,8.5,0.0,51,9
29,2016-01-30,0.0,2.0,-1.3,3.5,0.3,57,7
30,2016-01-31,0.5,2.5,-0.8,11.0,0.0,68,19
31,2016-02-01,-0.3,0.5,-1.2,6.5,0.0,76,12
32,2016-02-02,0.1,2.3,-1.5,2.0,0.5,68,5
33,2016-02-03,-0.1,1.3,-2.3,7.0,0.2,70,9
34,2016-02-04,1.3,4.3,-2.2,15.0,4.4,75,9
35,2016-02-05,0.6,2.8,-0.1,18.0,0.2,63,6
36,2016-02-06,0.1,1.8,-1.2,2.0,0.0,63,10
37,2016-02-07,-1.7,0.9,-5.1,5.0,1.4,70,7
38,2016-02-08,-2.6,4.9,-9.2,0.0,9.6,66,2
39,2016-02-09,0.6,2.3,-4.6,31.0,0.4,69,14
40,2016-02-10,0.9,2.1,-0.9,5.5,0.5,73,10
41,2016-02-11,1.0,4.6,-4.6,0.0,4.5,72,0
42,2016-02-12,1.8,9.7,-4.9,0.0,9.6,67,0
43,2016-02-13,3.0,6.4,1.1,1.5,0.0,64,0
44,2016-02-14,5.9,11.7,2.2,27.0,0.0,61,0
45,2016-02-15,-0.1,4.3,-2.8,9.5,0.0,57,11
46,2016-02-16,-0.5,1.1,-2.9,22.5,1.2,66,14
47,2016-02-17,0.3,1.5,-2.6,12.5,0.0,71,12
48,2016-02-18,0.6,7.4,-3.6,0.0,8.4,69,0
49,2016-02-19,2.1,9.4,-5.6,0.5,1.7,63,2
50,2016-02-20,4.0,10.0,0.3,6.5,0.0,58,0
51,2016-02-21,3.8,7.3,0.4,10.0,0.2,51,0
