,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-1.7,1.5,-6.2,0.0,5.2,0.0,0.0,2.3
1,2016-01-02,2.1,5.7,-2.7,2.5,1.8,2.0,2.0,3.3
2,2016-01-03,0.5,2.7,-1.7,0.0,5.5,0.0,0.0,3.8
3,2016-01-04,-1.6,0.7,-6.0,0.0,1.5,0.0,0.0,2.4
4,2016-01-05,-3.8,-0.9,-8.8,0.0,7.0,0.0,0.0,3.8
5,2016-01-06,-1.0,2.2,-4.4,0.0,4.0,0.0,0.0,3.4
6,2016-01-07,-2.4,-0.4,-5.6,0.0,2.5,0.0,0.0,2.9
7,2016-01-08,-1.9,1.3,-7.6,0.0,4.0,0.0,0.0,3.0
8,2016-01-09,-4.0,-1.1,-8.5,0.0,3.2,0.0,0.0,2.8
9,2016-01-10,-4.2,1.3,-8.1,0.0,4.3,1.0,2.0,3.2
10,2016-01-11,-7.0,-3.9,-10.4,0.0,2.7,1.0,5.0,2.4
11,2016-01-12,-5.7,-1.9,-10.4,0.0,4.1,1.0,3.0,3.0
12,2016-01-13,-4.3,0.0,-8.1,1.5,2.2,6.0,8.0,2.0
13,2016-01-14,-3.9,-1.4,-9.3,5.5,7.4,17.0,11.0,3.4
14,2016-01-15,-7.0,-1.7,-13.7,0.0,4.5,12.0,3.0,2.2
15,2016-01-16,-5.8,-0.7,-11.5,0.0,7.0,10.0,1.0,2.7
16,2016-01-17,-6.5,1.3,-12.9,0.0,7.6,8.0,0.0,2.2
17,2016-01-18,-4.4,-1.0,-9.8,1.5,0.0,9.0,4.0,3.4
18,2016-01-19,-0.5,1.6,-3.2,2.0,0.0,12.0,4.0,3.6
19,2016-01-20,-0.4,1.5,-5.8,0.0,2.8,11.0,1.0,5.2
20,2016-01-21,-3.4,0.8,-7.8,0.0,7.9,10.0,2.0,3.0
21,2016-01-22,-3.7,1.8,-10.8,0.0,8.0,9.0,1.0,2.9
22,2016-01-23,-5.6,0.6,-12.5,0.0,8.0,9.0,3.0,2.1
23,2016-01-24,-3.9,0.0,-8.4,0.0,4.3,9.0,1.0,2.2
24,2016-01-25,-4.9,-1.8,-12.4,0.0,5.6,9.0,4.0,2.4
25,2016-01-26,0.9,3.3,-3.5,0.0,1.2,9.0,0.0,2.8
26,2016-01-27,-0.1,2.5,-2.3,0.0,5.3,8.0,1.0,3.8
27,2016-01-28,-3.3,0.5,-6.9,0.0,4.6,8.0,2.0,3.3
28,2016-01-29,-5.7,-2.2,-10.2,0.0,4.8,8.0,2.0,2.0
29,2016-01-30,-6.5,-1.4,-11.4,0.0,6.6,8.0,1.0,1.8
30,2016-01-31,-6.0,-2.2,-10.6,0.0,5.7,8.0,1.0,2.5
31,2016-02-01,-7.1,-2.5,-10.6,0.0,6.9,8.0,1.0,2.5
32,2016-02-02,-5.9,-1.1,-10.4,0.0,4.7,8.0,1.0,2.9
33,2016-02-03,-5.1,0.5,-11.6,0.0,6.2,7.0,0.0,2.1
34,2016-02-04,-1.7,3.2,-7.7,0.5,5.9,7.0,2.0,2.7
35,2016-02-05,-1.8,0.5,-7.0,0.0,6.7,7.0,1.0,3.4
36,2016-02-06,-5.6,-0.2,-11.1,0.0,6.7,7.0,1.0,2.7
37,2016-02-07,-5.5,-1.2,-12.4,0.0,6.3,7.0,1.0,3.1
38,2016-02-08,-2.2,1.6,-8.6,0.0,7.8,8.0,4.0,2.9
39,2016-02-09,2.2,5.0,-0.9,1.0,4.2,8.0,2.0,5.7
40,2016-02-10,-1.0,1.4,-3.9,0.0,8.8,2.0,1.0,5.7
41,2016-02-11,-2.1,2.0,-6.1,0.0,8.1,1.0,0.0,3.5
42,2016-02-12,-0.8,3.8,-6.6,0.0,2.9,2.0,4.0,1.7
43,2016-02-13,3.2,6.1,0.7,2.0,0.0,2.0,1.0,1.5
44,2016-02-14,4.0,7.0,-0.2,27.0,0.0,2.0,2.0,2.4
45,2016-02-15,-5.2,-0.1,-9.2,0.0,4.5,2.0,4.0,4.9
46,2016-02-16,-4.2,-1.0,-10.0,0.0,6.3,2.0,1.0,3.2
47,2016-02-17,-3.7,-0.5,-7.3,0.0,6.4,3.0,6.0,3.9
48,2016-02-18,0.0,4.3,-7.7,0.0,4.3,3.0,1.0,2.6
49,2016-02-19,2.5,6.6,-1.8,1.5,1.8,2.0,3.0,2.7
50,2016-02-20,1.6,3.9,-1.1,5.0,2.4,7.0,5.0,2.1
51,2016-02-21,0.7,4.0,-3.3,3.5,4.7,12.0,6.0,3.9
52,2016-02-22,-2.9,-0.8,-7.1,0.0,1.3,6.0,1.0,3.0
53,2016-02-23,-1.3,4.1,-7.4,3.0,4.6,13.0,9.0,2.3
54,2016-02-24,-5.6,-1.8,-10.2,0.0,8.6,6.0,1.0,3.6
55,2016-02-25,-6.5,-1.5,-10.7,0.0,5.7,5.0,0.0,2.9
56,2016-02-26,-6.0,-0.2,-10.4,0.0,6.5,6.0,2.0,2.9
57,2016-02-27,-4.8,-0.4,-10.5,0.0,8.0,6.0,5.0,3.1
58,2016-02-28,-3.8,1.0,-10.3,0.0,10.3,6.0,0.0,2.8
59,2016-02-29,1.9,5.9,-2.0,8.0,0.0,12.0,7.0,9.2
60,2016-03-01,-1.6,1.1,-5.3,2.0,6.6,8.0,5.0,5.3
61,2016-03-02,-3.7,1.0,-8.2,0.0,5.5,6.0,4.0,2.6
62,2016-03-03,-4.2,0.1,-9.7,9.5,0.4,15.0,10.0,2.3
63,2016-03-04,-4.5,1.9,-12.1,0.0,9.5,15.0,3.0,2.2
64,2016-03-05,-2.3,2.7,-8.4,0.0,10.2,10.0,0.0,2.7
65,2016-03-06,2.3,4.4,0.6,64.0,0.0,11.0,2.0,3.8
66,2016-03-07,4.5,8.4,-1.2,0.0,8.7,10.0,0.0,2.5
67,2016-03-08,1.8,6.1,-1.8,0.0,0.6,5.0,3.0,2.8
68,2016-03-09,-0.7,2.1,-5.1,0.0,7.3,3.0,3.0,4.0
