,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,1.4,9.3,-3.1,0.0,7.8,1.3
1,2016-01-02,2.1,10.0,-4.1,0.0,4.8,0.8
2,2016-01-03,4.6,15.0,-1.8,0.0,7.8,0.9
3,2016-01-04,5.1,14.3,-1.7,0.0,6.1,1.2
4,2016-01-05,4.8,13.1,-1.7,0.0,3.5,1.4
5,2016-01-06,4.9,11.3,0.1,0.0,1.7,0.9
6,2016-01-07,3.5,10.1,0.0,0.0,5.4,1.6
7,2016-01-08,2.9,9.2,-2.2,0.0,5.7,1.2
8,2016-01-09,2.4,10.0,-2.1,0.0,6.8,1.2
9,2016-01-10,2.4,10.4,-2.3,0.0,3.8,1.1
10,2016-01-11,2.4,9.2,-3.1,0.0,3.9,1.0
11,2016-01-12,2.2,7.7,-2.5,0.0,0.7,1.0
12,2016-01-13,0.7,8.1,-5.7,0.0,5.2,1.0
13,2016-01-14,2.3,6.6,-1.7,0.0,2.1,1.3
14,2016-01-15,2.3,8.4,-2.4,0.0,7.6,1.6
15,2016-01-16,1.1,8.9,-4.5,0.0,7.4,1.4
16,2016-01-17,1.4,8.2,-5.5,0.0,4.3,0.7
17,2016-01-18,4.9,7.9,2.2,17.5,0.3,2.4
18,2016-01-19,-0.1,3.3,-2.5,0.5,4.3,4.3
19,2016-01-20,-1.6,2.3,-4.2,7.5,2.8,1.9
20,2016-01-21,-1.4,5.3,-7.2,0.0,6.6,1.2
21,2016-01-22,-0.1,7.0,-4.4,0.0,8.0,1.4
22,2016-01-23,-2.0,1.5,-5.8,3.0,0.0,
23,2016-01-24,-3.2,-0.6,-8.8,0.5,4.9,3.6
24,2016-01-25,-3.6,3.8,-10.0,0.0,5.9,1.5
25,2016-01-26,-1.4,6.0,-7.1,0.0,8.3,1.3
26,2016-01-27,1.4,8.4,-3.2,0.0,5.0,1.4
27,2016-01-28,2.4,11.0,-4.7,0.0,6.0,1.2
28,2016-01-29,4.3,6.8,2.1,39.5,0.0,0.5
29,2016-01-30,5.8,7.2,2.2,12.0,0.0,1.4
30,2016-01-31,3.5,10.4,-1.8,0.0,7.4,1.3
31,2016-02-01,3.8,6.8,1.0,0.0,0.0,1.4
32,2016-02-02,2.0,11.0,-2.6,0.0,5.8,1.3
33,2016-02-03,0.3,8.7,-6.3,0.0,8.6,1.2
34,2016-02-04,0.8,8.3,-6.1,0.0,4.2,1.0
35,2016-02-05,3.1,10.5,-2.0,0.0,7.4,1.5
36,2016-02-06,1.8,7.9,-2.3,0.0,1.5,1.3
37,2016-02-07,0.4,8.2,-5.2,0.0,8.6,1.7
38,2016-02-08,0.0,9.2,-7.5,0.0,8.7,1.2
39,2016-02-09,0.5,4.8,-2.9,2.0,0.8,2.0
40,2016-02-10,0.8,6.5,-3.4,0.0,8.3,2.5
41,2016-02-11,1.5,11.6,-6.5,0.0,9.1,1.0
42,2016-02-12,3.7,9.1,-2.9,0.0,0.0,0.6
43,2016-02-13,8.1,11.7,4.3,25.0,0.0,0.7
44,2016-02-14,14.1,19.6,8.2,37.5,0.5,2.9
45,2016-02-15,4.7,9.8,-1.6,1.0,5.0,2.6
46,2016-02-16,-0.3,5.8,-4.2,0.0,4.1,1.5
47,2016-02-17,1.2,7.6,-2.6,0.0,3.8,1.6
48,2016-02-18,1.3,10.3,-5.4,0.0,9.0,1.2
49,2016-02-19,4.6,13.9,-2.7,0.0,8.4,1.4
50,2016-02-20,5.5,10.2,1.8,35.0,0.0,1.5
51,2016-02-21,5.6,10.5,-0.5,0.0,8.0,3.9
52,2016-02-22,3.8,10.9,-2.4,0.0,5.6,1.3
53,2016-02-23,6.4,13.3,0.5,0.0,6.5,1.7
54,2016-02-24,3.8,9.6,-2.0,0.0,9.9,3.0
55,2016-02-25,1.2,8.7,-5.5,0.0,9.4,2.0
56,2016-02-26,0.9,7.9,-4.2,0.0,6.0,2.2
57,2016-02-27,2.8,9.9,-4.7,0.0,5.4,1.2
58,2016-02-28,6.3,15.4,0.3,0.0,9.3,1.3
59,2016-02-29,4.0,13.2,-1.0,4.0,1.2,2.4
60,2016-03-01,0.2,5.9,-3.2,0.5,6.7,3.0
61,2016-03-02,1.3,9.0,-4.9,0.0,7.2,1.6
62,2016-03-03,3.8,13.7,-4.4,0.0,8.7,1.7
63,2016-03-04,6.3,18.1,-2.7,0.0,10.3,1.2
64,2016-03-05,7.5,16.2,0.5,0.0,0.6,0.7
65,2016-03-06,11.0,19.5,3.2,5.0,2.4,1.1
