,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,0.4,4.8,-3.6,0.0,7.0,0.8
1,2016-01-02,1.8,7.1,-4.1,0.0,2.8,0.6
2,2016-01-03,5.3,11.0,0.0,0.0,4.5,0.5
3,2016-01-04,5.1,10.5,-0.7,0.0,6.2,0.7
4,2016-01-05,4.1,7.0,1.8,0.0,2.1,0.7
5,2016-01-06,4.2,8.1,2.4,0.0,1.4,0.4
6,2016-01-07,2.6,5.8,0.5,0.0,2.9,1.1
7,2016-01-08,1.5,4.3,-0.1,0.5,0.2,1.0
8,2016-01-09,0.1,3.1,-2.0,0.0,3.9,1.0
9,2016-01-10,0.9,4.4,-1.9,0.0,3.6,0.9
10,2016-01-11,1.8,6.1,-1.5,0.0,5.6,0.7
11,2016-01-12,0.9,4.1,-2.3,0.0,1.3,0.7
12,2016-01-13,-0.9,3.0,-4.9,0.0,2.0,0.8
13,2016-01-14,-1.2,0.4,-2.7,2.5,0.5,1.1
14,2016-01-15,-0.8,2.9,-3.8,0.0,8.0,0.9
15,2016-01-16,-1.1,3.9,-5.3,0.0,5.5,0.6
16,2016-01-17,0.8,5.2,-4.8,1.5,4.3,1.4
17,2016-01-18,3.3,7.8,-1.4,9.5,0.0,2.5
18,2016-01-19,-4.3,-1.2,-6.1,10.0,0.2,2.2
19,2016-01-20,-3.0,-1.0,-6.6,7.0,0.0,1.8
20,2016-01-21,-1.8,1.4,-4.4,0.0,2.1,0.6
21,2016-01-22,-1.1,1.7,-3.5,0.0,2.0,1.2
22,2016-01-23,-2.1,1.8,-5.1,3.5,0.0,0.8
23,2016-01-24,-8.0,-3.9,-10.8,2.5,2.0,1.7
24,2016-01-25,-5.9,-2.7,-10.2,1.5,1.2,1.3
25,2016-01-26,-3.3,0.5,-9.2,0.0,2.5,0.7
26,2016-01-27,-0.2,3.2,-3.0,0.0,2.8,0.9
27,2016-01-28,0.9,6.8,-5.2,0.5,4.4,0.4
28,2016-01-29,9.2,12.0,3.1,54.0,0.0,1.3
29,2016-01-30,2.2,7.5,0.5,9.5,0.0,1.4
30,2016-01-31,1.2,6.0,-1.6,0.0,8.3,0.9
31,2016-02-01,0.5,2.1,-1.5,0.0,0.0,0.6
