,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,9.6,12.9,6.3,0.0,4.7,3.6,7.4,1007.0,63.0,1025.7
1,2016-01-02,12.7,15.4,6.9,0.0,2.3,5.0,9.8,1006.2,66.0,1024.6
2,2016-01-03,12.7,14.2,10.5,11.0,0.0,2.4,12.4,1000.6,85.0,1018.9
3,2016-01-04,14.8,18.1,12.4,,8.4,4.4,12.5,998.1,75.0,1016.2
4,2016-01-05,13.6,15.9,11.9,,7.5,4.6,10.2,1000.1,66.0,1018.3
5,2016-01-06,11.4,13.1,9.3,11.0,0.0,2.7,11.1,999.0,82.0,1017.3
6,2016-01-07,11.6,14.5,9.9,2.5,4.4,4.8,9.2,995.5,67.0,1013.8
7,2016-01-08,11.0,12.9,9.0,0.0,0.0,3.0,9.7,997.0,73.0,1015.3
8,2016-01-09,10.2,12.4,7.5,,2.7,3.8,7.7,999.7,62.0,1018.1
9,2016-01-10,11.0,12.8,9.5,,3.4,5.4,7.8,1000.8,60.0,1019.2
10,2016-01-11,11.4,13.5,9.9,,3.8,4.7,8.6,999.5,64.0,1017.9
11,2016-01-12,10.2,12.4,9.2,14.0,0.0,3.6,10.7,993.6,86.0,1011.9
12,2016-01-13,9.5,13.2,7.4,0.5,3.1,2.2,8.5,995.3,72.0,1013.7
13,2016-01-14,9.9,11.6,8.5,0.0,4.9,5.3,7.0,996.0,58.0,1014.4
14,2016-01-15,9.4,11.8,8.2,,3.4,4.3,6.8,997.9,58.0,1016.4
15,2016-01-16,9.9,13.4,7.8,,7.8,3.7,6.8,999.7,56.0,1018.2
16,2016-01-17,11.1,13.9,8.7,1.5,4.1,2.8,8.2,1000.1,62.0,1018.4
17,2016-01-18,15.1,20.2,11.4,47.5,0.9,8.4,14.3,980.3,81.0,998.0
18,2016-01-19,8.5,14.0,5.1,5.5,0.1,10.3,7.2,987.5,65.0,1005.8
19,2016-01-20,7.3,9.8,3.9,1.0,3.2,7.6,5.7,993.8,56.0,1012.4
20,2016-01-21,8.4,10.4,7.0,,3.6,5.2,6.2,999.7,56.0,1018.3
21,2016-01-22,8.9,11.8,7.1,1.0,3.9,2.7,6.7,1000.1,59.0,1018.6
22,2016-01-23,9.4,12.5,7.0,6.5,0.8,1.5,9.0,996.8,76.0,1015.3
23,2016-01-24,4.9,9.1,2.0,1.5,0.0,6.3,6.1,989.7,68.0,1008.3
